#####################################
##### THERE ARE 2 TARGETS ###########
RLS range: 1000
RLS coordinates: 0:0
###########STARTING PELENG###########
Time: 213, Target #0, Type: Aircraft, Distance: 411.858, Angle: 225, Coordinates: -291.227:-291.227
Time: 214, Target #0, Type: Aircraft, Distance: 413.858, Angle: 225, Coordinates: -292.642:-292.642
Time: 215, Target #0, Type: Aircraft, Distance: 415.858, Angle: 225, Coordinates: -294.056:-294.056
Time: 216, Target #0, Type: Aircraft, Distance: 417.858, Angle: 225, Coordinates: -295.47:-295.47
Time: 217, Target #0, Type: Aircraft, Distance: 419.858, Angle: 225, Coordinates: -296.884:-296.884
Time: 218, Target #0, Type: Aircraft, Distance: 421.858, Angle: 225, Coordinates: -298.299:-298.299
Time: 219, Target #0, Type: Aircraft, Distance: 423.858, Angle: 225, Coordinates: -299.713:-299.713
Time: 220, Target #0, Type: Aircraft, Distance: 425.858, Angle: 225, Coordinates: -301.127:-301.127
Time: 221, Target #0, Type: Aircraft, Distance: 427.858, Angle: 225, Coordinates: -302.541:-302.541
Time: 222, Target #0, Type: Aircraft, Distance: 429.858, Angle: 225, Coordinates: -303.955:-303.955
Time: 223, Target #0, Type: Aircraft, Distance: 431.858, Angle: 225, Coordinates: -305.37:-305.37
Time: 224, Target #0, Type: Aircraft, Distance: 433.858, Angle: 225, Coordinates: -306.784:-306.784
Time: 225, Target #0, Type: Aircraft, Distance: 435.858, Angle: 225, Coordinates: -308.198:-308.198
Time: 226, Target #0, Type: Aircraft, Distance: 437.858, Angle: 225, Coordinates: -309.612:-309.612
Time: 227, Target #0, Type: Aircraft, Distance: 439.858, Angle: 225, Coordinates: -311.026:-311.026
Time: 228, Target #0, Type: Aircraft, Distance: 441.858, Angle: 225, Coordinates: -312.441:-312.441
Time: 229, Target #0, Type: Aircraft, Distance: 443.858, Angle: 225, Coordinates: -313.855:-313.855
Time: 230, Target #0, Type: Aircraft, Distance: 445.858, Angle: 225, Coordinates: -315.269:-315.269
Time: 231, Target #0, Type: Aircraft, Distance: 447.858, Angle: 225, Coordinates: -316.683:-316.683
Time: 232, Target #0, Type: Aircraft, Distance: 449.858, Angle: 225, Coordinates: -318.098:-318.098
Time: 233, Target #0, Type: Aircraft, Distance: 451.858, Angle: 225, Coordinates: -319.512:-319.512
Time: 234, Target #0, Type: Aircraft, Distance: 453.858, Angle: 225, Coordinates: -320.926:-320.926
Time: 235, Target #0, Type: Aircraft, Distance: 455.858, Angle: 225, Coordinates: -322.34:-322.34
Time: 236, Target #0, Type: Aircraft, Distance: 457.858, Angle: 225, Coordinates: -323.754:-323.754
Time: 237, Target #0, Type: Aircraft, Distance: 459.858, Angle: 225, Coordinates: -325.169:-325.169
Time: 238, Target #0, Type: Aircraft, Distance: 461.858, Angle: 225, Coordinates: -326.583:-326.583
Time: 239, Target #0, Type: Aircraft, Distance: 463.858, Angle: 225, Coordinates: -327.997:-327.997
Time: 240, Target #0, Type: Aircraft, Distance: 465.858, Angle: 225, Coordinates: -329.411:-329.411
Time: 241, Target #0, Type: Aircraft, Distance: 467.858, Angle: 225, Coordinates: -330.825:-330.825
Time: 242, Target #0, Type: Aircraft, Distance: 469.858, Angle: 225, Coordinates: -332.24:-332.24
Time: 243, Target #0, Type: Aircraft, Distance: 471.858, Angle: 225, Coordinates: -333.654:-333.654
Time: 244, Target #0, Type: Aircraft, Distance: 473.858, Angle: 225, Coordinates: -335.068:-335.068
Time: 245, Target #0, Type: Aircraft, Distance: 475.858, Angle: 225, Coordinates: -336.482:-336.482
Time: 246, Target #0, Type: Aircraft, Distance: 477.858, Angle: 225, Coordinates: -337.897:-337.897
Time: 247, Target #0, Type: Aircraft, Distance: 479.858, Angle: 225, Coordinates: -339.311:-339.311
Time: 248, Target #0, Type: Aircraft, Distance: 481.858, Angle: 225, Coordinates: -340.725:-340.725
Time: 249, Target #0, Type: Aircraft, Distance: 483.858, Angle: 225, Coordinates: -342.139:-342.139
Time: 250, Target #0, Type: Aircraft, Distance: 485.858, Angle: 225, Coordinates: -343.553:-343.553
Time: 251, Target #0, Type: Aircraft, Distance: 487.858, Angle: 225, Coordinates: -344.968:-344.968
Time: 252, Target #0, Type: Aircraft, Distance: 489.858, Angle: 225, Coordinates: -346.382:-346.382
Time: 253, Target #0, Type: Aircraft, Distance: 491.858, Angle: 225, Coordinates: -347.796:-347.796
